Year,Month,n-2,n-1,n,y
2017.0,9.0,640.0,640.0,520.0,520.0
2018.0,3.0,850.0,850.0,850.0,850.0
2018.0,4.0,850.0,850.0,850.0,50.0
2019.0,1.0,196.0,196.0,196.0,196.0
2019.0,2.0,196.0,196.0,196.0,196.0
2017.0,12.0,400.0,400.0,400.0,400.0
2018.0,1.0,400.0,400.0,400.0,400.0
2018.0,2.0,400.0,400.0,400.0,400.0
2018.0,3.0,400.0,400.0,400.0,200.0
2018.0,4.0,400.0,400.0,200.0,600.0
2018.0,5.0,400.0,200.0,600.0,600.0
2018.0,6.0,200.0,600.0,600.0,600.0
2018.0,7.0,600.0,600.0,600.0,600.0
2018.0,8.0,600.0,600.0,600.0,600.0
2018.0,9.0,600.0,600.0,600.0,400.0
2015.0,11.0,414.0,108.0,74.0,74.0
2017.0,1.0,110.0,110.0,110.0,110.0
2017.0,2.0,110.0,110.0,110.0,110.0
2017.0,3.0,110.0,110.0,110.0,216.0
2017.0,4.0,110.0,110.0,216.0,336.0
2017.0,5.0,110.0,216.0,336.0,336.0
2017.0,6.0,216.0,336.0,336.0,402.0
2017.0,7.0,336.0,336.0,402.0,452.0
2017.0,8.0,336.0,402.0,452.0,606.0
2017.0,9.0,402.0,452.0,606.0,500.0
2017.0,10.0,452.0,606.0,500.0,270.0
2017.0,11.0,606.0,500.0,270.0,270.0
2017.0,12.0,500.0,270.0,270.0,204.0
2018.0,1.0,270.0,270.0,204.0,254.0
2018.0,2.0,270.0,204.0,254.0,100.0
2018.0,3.0,204.0,254.0,100.0,100.0
2018.0,4.0,254.0,100.0,100.0,176.0
2018.0,5.0,100.0,100.0,176.0,226.0
2018.0,6.0,100.0,176.0,226.0,226.0
2018.0,7.0,176.0,226.0,226.0,260.0
2018.0,8.0,226.0,226.0,260.0,260.0
2018.0,9.0,226.0,260.0,260.0,286.0
2018.0,10.0,260.0,260.0,286.0,98.0
2018.0,11.0,260.0,286.0,98.0,98.0
2018.0,12.0,286.0,98.0,98.0,98.0
2015.0,9.0,700.0,700.0,700.0,700.0
2015.0,10.0,700.0,700.0,700.0,680.0
2015.0,11.0,700.0,700.0,680.0,200.0
2015.0,12.0,700.0,680.0,200.0,200.0
2016.0,1.0,680.0,200.0,200.0,200.0
2016.0,2.0,200.0,200.0,200.0,200.0
2016.0,3.0,200.0,200.0,200.0,200.0
2016.0,4.0,200.0,200.0,200.0,120.0
2017.0,2.0,150.0,600.0,600.0,600.0
2017.0,3.0,600.0,600.0,600.0,600.0
2017.0,4.0,600.0,600.0,600.0,600.0
2017.0,5.0,600.0,600.0,600.0,450.0
2018.0,4.0,596.0,596.0,596.0,596.0
2018.0,5.0,596.0,596.0,596.0,596.0
2018.0,6.0,596.0,596.0,596.0,596.0
2017.0,5.0,20.0,20.0,20.0,20.0
2017.0,6.0,20.0,20.0,20.0,10.0
2017.0,7.0,20.0,20.0,10.0,10.0
2017.0,8.0,20.0,10.0,10.0,50.0
2017.0,9.0,10.0,10.0,50.0,60.0
2017.0,10.0,10.0,50.0,60.0,60.0
2017.0,11.0,50.0,60.0,60.0,60.0
2017.0,12.0,60.0,60.0,60.0,70.0
2018.0,1.0,60.0,60.0,70.0,70.0
2018.0,2.0,60.0,70.0,70.0,20.0
2018.0,3.0,70.0,70.0,20.0,220.0
2018.0,4.0,70.0,20.0,220.0,220.0
2018.0,5.0,20.0,220.0,220.0,240.0
2018.0,6.0,220.0,220.0,240.0,230.0
2018.0,7.0,220.0,240.0,230.0,234.0
2018.0,8.0,240.0,230.0,234.0,294.0
2018.0,9.0,230.0,234.0,294.0,214.0
2015.0,12.0,400.0,400.0,400.0,400.0
2016.0,1.0,400.0,400.0,400.0,400.0
2016.0,2.0,400.0,400.0,400.0,400.0
2016.0,9.0,300.0,300.0,300.0,300.0
2016.0,10.0,300.0,300.0,300.0,300.0
2016.0,11.0,300.0,300.0,300.0,300.0
2016.0,12.0,300.0,300.0,300.0,300.0
2017.0,1.0,300.0,300.0,300.0,300.0
2017.0,2.0,300.0,300.0,300.0,300.0
2017.0,3.0,300.0,300.0,300.0,300.0
2017.0,4.0,300.0,300.0,300.0,300.0
2017.0,5.0,300.0,300.0,300.0,300.0
2017.0,11.0,300.0,440.0,440.0,440.0
2017.0,12.0,440.0,440.0,440.0,440.0
2018.0,1.0,440.0,440.0,440.0,740.0
2018.0,2.0,440.0,440.0,740.0,582.0
2018.0,3.0,440.0,740.0,582.0,542.0
2018.0,4.0,740.0,582.0,542.0,542.0
2018.0,5.0,582.0,542.0,542.0,542.0
2018.0,6.0,542.0,542.0,542.0,542.0
2018.0,7.0,542.0,542.0,542.0,442.0
2018.0,8.0,542.0,542.0,442.0,300.0
2018.0,9.0,542.0,442.0,300.0,200.0
2018.0,10.0,442.0,300.0,200.0,40.0
2018.0,11.0,300.0,200.0,40.0,40.0
2018.0,12.0,200.0,40.0,40.0,50.0
2019.0,1.0,40.0,40.0,50.0,30.0
2019.0,2.0,40.0,50.0,30.0,30.0
2019.0,3.0,50.0,30.0,30.0,60.0
2015.0,4.0,490.0,590.0,450.0,350.0
2015.0,5.0,590.0,450.0,350.0,200.0
2015.0,6.0,450.0,350.0,200.0,370.0
2015.0,7.0,350.0,200.0,370.0,270.0
2015.0,8.0,200.0,370.0,270.0,270.0
2015.0,9.0,370.0,270.0,270.0,270.0
2015.0,10.0,270.0,270.0,270.0,370.0
2015.0,11.0,270.0,270.0,370.0,470.0
2015.0,12.0,270.0,370.0,470.0,300.0
2016.0,1.0,370.0,470.0,300.0,300.0
2016.0,2.0,470.0,300.0,300.0,214.0
2016.0,3.0,300.0,300.0,214.0,314.0
2016.0,4.0,300.0,214.0,314.0,214.0
2016.0,5.0,214.0,314.0,214.0,114.0
2016.0,6.0,314.0,214.0,114.0,232.0
2016.0,7.0,214.0,114.0,232.0,272.0
2016.0,8.0,114.0,232.0,272.0,318.0
2016.0,9.0,232.0,272.0,318.0,348.0
2016.0,10.0,272.0,318.0,348.0,348.0
2016.0,11.0,318.0,348.0,348.0,448.0
2016.0,12.0,348.0,348.0,448.0,430.0
2017.0,1.0,348.0,448.0,430.0,390.0
2017.0,2.0,448.0,430.0,390.0,330.0
2017.0,3.0,430.0,390.0,330.0,200.0
2017.0,4.0,390.0,330.0,200.0,300.0
2017.0,5.0,330.0,200.0,300.0,200.0
2017.0,6.0,200.0,300.0,200.0,100.0
2017.0,7.0,300.0,200.0,100.0,200.0
2017.0,8.0,200.0,100.0,200.0,200.0
2017.0,9.0,100.0,200.0,200.0,200.0
2017.0,10.0,200.0,200.0,200.0,100.0
2017.0,11.0,200.0,200.0,100.0,240.0
2017.0,12.0,200.0,100.0,240.0,240.0
2018.0,1.0,100.0,240.0,240.0,140.0
2018.0,2.0,240.0,240.0,140.0,240.0
2018.0,3.0,240.0,140.0,240.0,340.0
2018.0,4.0,140.0,240.0,340.0,370.0
2018.0,5.0,240.0,340.0,370.0,230.0
2018.0,6.0,340.0,370.0,230.0,330.0
2018.0,7.0,370.0,230.0,330.0,330.0
2018.0,8.0,230.0,330.0,330.0,230.0
2018.0,9.0,330.0,330.0,230.0,230.0
2018.0,10.0,330.0,230.0,230.0,800.0
2018.0,11.0,230.0,230.0,800.0,300.0
2018.0,12.0,230.0,800.0,300.0,900.0
2019.0,1.0,800.0,300.0,900.0,900.0
2019.0,2.0,300.0,900.0,900.0,900.0
2019.0,3.0,900.0,900.0,900.0,900.0
2016.0,12.0,40.0,40.0,40.0,40.0
2017.0,1.0,40.0,40.0,40.0,40.0
2017.0,2.0,40.0,40.0,40.0,40.0
2018.0,7.0,20.0,20.0,20.0,70.0
2018.0,8.0,20.0,20.0,70.0,70.0
2018.0,9.0,20.0,70.0,70.0,70.0
2017.0,9.0,400.0,400.0,400.0,806.0
2017.0,10.0,400.0,400.0,806.0,806.0
2017.0,11.0,400.0,806.0,806.0,406.0
2017.0,12.0,806.0,806.0,406.0,406.0
2018.0,1.0,806.0,406.0,406.0,406.0
2018.0,2.0,406.0,406.0,406.0,908.0
2018.0,3.0,406.0,406.0,908.0,502.0
2018.0,4.0,406.0,908.0,502.0,502.0
2018.0,5.0,908.0,502.0,502.0,502.0
2018.0,6.0,502.0,502.0,502.0,502.0
2018.0,7.0,502.0,502.0,502.0,502.0
2016.0,4.0,400.0,400.0,400.0,400.0
2016.0,5.0,400.0,400.0,400.0,400.0
2016.0,6.0,400.0,400.0,400.0,400.0
2018.0,7.0,20.0,20.0,20.0,50.0
2018.0,8.0,20.0,20.0,50.0,50.0
2018.0,9.0,20.0,50.0,50.0,50.0
2016.0,7.0,180.0,300.0,300.0,300.0
2016.0,8.0,300.0,300.0,300.0,300.0
2016.0,9.0,300.0,300.0,300.0,300.0
2016.0,10.0,300.0,300.0,300.0,300.0
2017.0,4.0,350.0,350.0,350.0,350.0
2017.0,5.0,350.0,350.0,350.0,350.0
2017.0,6.0,350.0,350.0,350.0,350.0
2017.0,12.0,200.0,200.0,200.0,200.0
2018.0,1.0,200.0,200.0,200.0,200.0
