category,Year,Month,n-3,n-2,n-1,y
780.0,2017.0,2.0,150.0,50.0,50.0,6.0
780.0,2017.0,3.0,50.0,50.0,6.0,6.0
780.0,2017.0,4.0,50.0,6.0,6.0,208.0
780.0,2017.0,5.0,6.0,6.0,208.0,210.0
780.0,2017.0,6.0,6.0,208.0,210.0,210.0
780.0,2017.0,7.0,208.0,210.0,210.0,210.0
780.0,2017.0,8.0,210.0,210.0,210.0,204.0
780.0,2017.0,9.0,210.0,210.0,204.0,304.0
780.0,2017.0,10.0,210.0,204.0,304.0,202.0
780.0,2017.0,11.0,204.0,304.0,202.0,208.0
780.0,2017.0,12.0,304.0,202.0,208.0,658.0
780.0,2018.0,1.0,202.0,208.0,658.0,662.0
780.0,2018.0,2.0,208.0,658.0,662.0,662.0
780.0,2018.0,3.0,658.0,662.0,662.0,562.0
780.0,2018.0,4.0,662.0,662.0,562.0,470.0
780.0,2018.0,5.0,662.0,562.0,470.0,488.0
780.0,2018.0,6.0,562.0,470.0,488.0,200.0
780.0,2018.0,7.0,470.0,488.0,200.0,318.0
780.0,2018.0,8.0,488.0,200.0,318.0,318.0
780.0,2018.0,9.0,200.0,318.0,318.0,506.0
780.0,2018.0,10.0,318.0,318.0,506.0,596.0
780.0,2018.0,11.0,318.0,506.0,596.0,900.0
780.0,2018.0,12.0,506.0,596.0,900.0,900.0
780.0,2019.0,1.0,596.0,900.0,900.0,1100.0
780.0,2019.0,2.0,900.0,900.0,1100.0,902.0
780.0,2019.0,3.0,900.0,1100.0,902.0,1802.0
780.0,2019.0,4.0,1100.0,902.0,1802.0,1802.0
969.0,2017.0,6.0,100.0,100.0,100.0,200.0
969.0,2017.0,7.0,100.0,100.0,200.0,200.0
969.0,2017.0,8.0,100.0,200.0,200.0,200.0
969.0,2017.0,9.0,200.0,200.0,200.0,100.0
969.0,2017.0,10.0,200.0,200.0,100.0,100.0
969.0,2017.0,11.0,200.0,100.0,100.0,100.0
969.0,2018.0,9.0,158.0,1758.0,1758.0,1758.0
969.0,2018.0,10.0,1758.0,1758.0,1758.0,1758.0
969.0,2018.0,11.0,1758.0,1758.0,1758.0,600.0
969.0,2018.0,12.0,1758.0,1758.0,600.0,600.0
969.0,2019.0,1.0,1758.0,600.0,600.0,600.0
969.0,2019.0,2.0,600.0,600.0,600.0,600.0
969.0,2019.0,3.0,600.0,600.0,600.0,600.0
969.0,2019.0,4.0,600.0,600.0,600.0,600.0
419.0,2017.0,7.0,2.0,2.0,2.0,2.0
419.0,2017.0,8.0,2.0,2.0,2.0,2.0
419.0,2017.0,9.0,2.0,2.0,2.0,2.0
419.0,2018.0,9.0,2.0,4.0,4.0,4.0
419.0,2018.0,10.0,4.0,4.0,4.0,4.0
2448.0,2017.0,10.0,66.0,66.0,66.0,66.0
2448.0,2017.0,11.0,66.0,66.0,66.0,66.0
2448.0,2017.0,12.0,66.0,66.0,66.0,66.0
1854.0,2017.0,10.0,100.0,100.0,100.0,100.0
1854.0,2017.0,11.0,100.0,100.0,100.0,100.0
1854.0,2017.0,12.0,100.0,100.0,100.0,100.0
1854.0,2018.0,10.0,102.0,102.0,102.0,102.0
2119.0,2017.0,7.0,50.0,50.0,50.0,50.0
2119.0,2017.0,8.0,50.0,50.0,50.0,50.0
2119.0,2017.0,9.0,50.0,50.0,50.0,50.0
2376.0,2016.0,11.0,806.0,806.0,806.0,1406.0
2376.0,2016.0,12.0,806.0,806.0,1406.0,606.0
2376.0,2017.0,1.0,806.0,1406.0,606.0,600.0
2376.0,2017.0,2.0,1406.0,606.0,600.0,600.0
2376.0,2017.0,3.0,606.0,600.0,600.0,600.0
2376.0,2017.0,4.0,600.0,600.0,600.0,600.0
2376.0,2017.0,11.0,300.0,300.0,300.0,300.0
2376.0,2017.0,12.0,300.0,300.0,300.0,300.0
2376.0,2018.0,1.0,300.0,300.0,300.0,300.0
2376.0,2018.0,2.0,300.0,300.0,300.0,302.0
1635.0,2016.0,6.0,500.0,500.0,500.0,500.0
1635.0,2016.0,7.0,500.0,500.0,500.0,500.0
1635.0,2016.0,8.0,500.0,500.0,500.0,500.0
1635.0,2017.0,2.0,50.0,50.0,50.0,50.0
1635.0,2017.0,3.0,50.0,50.0,50.0,50.0
1635.0,2017.0,4.0,50.0,50.0,50.0,300.0
1635.0,2017.0,5.0,50.0,50.0,300.0,250.0
1635.0,2017.0,6.0,50.0,300.0,250.0,250.0
1635.0,2017.0,7.0,300.0,250.0,250.0,500.0
1635.0,2017.0,8.0,250.0,250.0,500.0,500.0
1635.0,2017.0,9.0,250.0,500.0,500.0,500.0
1635.0,2017.0,10.0,500.0,500.0,500.0,250.0
1635.0,2017.0,11.0,500.0,500.0,250.0,250.0
1635.0,2017.0,12.0,500.0,250.0,250.0,250.0
1635.0,2018.0,1.0,250.0,250.0,250.0,202.0
1635.0,2018.0,2.0,250.0,250.0,202.0,202.0
1635.0,2018.0,3.0,250.0,202.0,202.0,202.0
1635.0,2018.0,4.0,202.0,202.0,202.0,202.0
1635.0,2018.0,5.0,202.0,202.0,202.0,202.0
1635.0,2018.0,6.0,202.0,202.0,202.0,202.0
1635.0,2018.0,7.0,202.0,202.0,202.0,300.0
1635.0,2018.0,8.0,202.0,202.0,300.0,300.0
1635.0,2018.0,9.0,202.0,300.0,300.0,300.0
1635.0,2018.0,10.0,300.0,300.0,300.0,300.0
1635.0,2018.0,11.0,300.0,300.0,300.0,380.0
1635.0,2018.0,12.0,300.0,300.0,380.0,490.0
1635.0,2019.0,1.0,300.0,380.0,490.0,580.0
1635.0,2019.0,2.0,380.0,490.0,580.0,496.0
1635.0,2019.0,3.0,490.0,580.0,496.0,496.0
1635.0,2019.0,4.0,580.0,496.0,496.0,396.0
1207.0,2015.0,10.0,280.0,280.0,280.0,280.0
1207.0,2015.0,11.0,280.0,280.0,280.0,550.0
1207.0,2015.0,12.0,280.0,280.0,550.0,270.0
1207.0,2016.0,1.0,280.0,550.0,270.0,530.0
1207.0,2016.0,2.0,550.0,270.0,530.0,530.0
1207.0,2016.0,3.0,270.0,530.0,530.0,530.0
1207.0,2016.0,4.0,530.0,530.0,530.0,530.0
1207.0,2016.0,5.0,530.0,530.0,530.0,260.0
1207.0,2016.0,6.0,530.0,530.0,260.0,340.0
1207.0,2016.0,7.0,530.0,260.0,340.0,80.0
1207.0,2016.0,8.0,260.0,340.0,80.0,80.0
1207.0,2016.0,9.0,340.0,80.0,80.0,80.0
1207.0,2016.0,10.0,80.0,80.0,80.0,220.0
1207.0,2016.0,11.0,80.0,80.0,220.0,220.0
1207.0,2016.0,12.0,80.0,220.0,220.0,460.0
1207.0,2017.0,1.0,220.0,220.0,460.0,460.0
1207.0,2017.0,2.0,220.0,460.0,460.0,460.0
1207.0,2017.0,3.0,460.0,460.0,460.0,460.0
1207.0,2017.0,4.0,460.0,460.0,460.0,500.0
1207.0,2017.0,5.0,460.0,460.0,500.0,500.0
1207.0,2017.0,6.0,460.0,500.0,500.0,180.0
1207.0,2017.0,7.0,500.0,500.0,180.0,614.0
1207.0,2017.0,8.0,500.0,180.0,614.0,614.0
1207.0,2017.0,9.0,180.0,614.0,614.0,614.0
1207.0,2017.0,10.0,614.0,614.0,614.0,434.0
1207.0,2017.0,11.0,614.0,614.0,434.0,434.0
1207.0,2017.0,12.0,614.0,434.0,434.0,1118.0
1207.0,2018.0,1.0,434.0,434.0,1118.0,684.0
1207.0,2018.0,2.0,434.0,1118.0,684.0,684.0
1207.0,2018.0,3.0,1118.0,684.0,684.0,724.0
1207.0,2018.0,4.0,684.0,684.0,724.0,724.0
1207.0,2018.0,5.0,684.0,724.0,724.0,724.0
1207.0,2018.0,6.0,724.0,724.0,724.0,40.0
1207.0,2018.0,7.0,724.0,724.0,40.0,40.0
1207.0,2018.0,8.0,724.0,40.0,40.0,40.0
1207.0,2019.0,2.0,190.0,124.0,124.0,56.0
1207.0,2019.0,3.0,124.0,124.0,56.0,56.0
1207.0,2019.0,4.0,124.0,56.0,56.0,794.0
102.0,2015.0,10.0,256.0,256.0,256.0,256.0
102.0,2015.0,11.0,256.0,256.0,256.0,256.0
102.0,2015.0,12.0,256.0,256.0,256.0,316.0
102.0,2016.0,1.0,256.0,256.0,316.0,200.0
102.0,2016.0,2.0,256.0,316.0,200.0,200.0
102.0,2016.0,3.0,316.0,200.0,200.0,200.0
102.0,2016.0,4.0,200.0,200.0,200.0,200.0
102.0,2016.0,5.0,200.0,200.0,200.0,200.0
102.0,2016.0,6.0,200.0,200.0,200.0,140.0
102.0,2017.0,1.0,250.0,250.0,250.0,250.0
102.0,2017.0,2.0,250.0,250.0,250.0,400.0
102.0,2017.0,3.0,250.0,250.0,400.0,400.0
102.0,2017.0,4.0,250.0,400.0,400.0,450.0
102.0,2017.0,5.0,400.0,400.0,450.0,450.0
102.0,2017.0,6.0,400.0,450.0,450.0,450.0
102.0,2017.0,7.0,450.0,450.0,450.0,450.0
102.0,2017.0,8.0,450.0,450.0,450.0,300.0
102.0,2017.0,9.0,450.0,450.0,300.0,300.0
1337.0,2015.0,11.0,1302.0,1302.0,1802.0,502.0
1337.0,2015.0,12.0,1302.0,1802.0,502.0,500.0
1337.0,2016.0,1.0,1802.0,502.0,500.0,500.0
1337.0,2016.0,2.0,502.0,500.0,500.0,500.0
1337.0,2016.0,3.0,500.0,500.0,500.0,500.0
